                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.6403,                 3.8711,                  2.116,                0.38963,                0.24013,                0.21526,                0.14216,                 1.4053,                 3.6417,                 2.1104,             0.00010681,             0.00010681,             0.00010681
                     36,                 1.6249,                 3.8149,                 2.0725,                0.50531,                0.20684,                0.21429,                 0.1361,                 1.4649,                 3.6878,                 2.1123,             0.00010521,             0.00010521,             0.00010521
                     37,                 1.5319,                 3.7746,                 2.0324,                0.41648,                0.25661,                0.24537,                0.15789,                 1.3769,                  3.638,                  2.045,             0.00010362,             0.00010362,             0.00010362
                     38,                 1.5451,                 3.6955,                 2.0578,                 0.4849,                0.21586,                0.21191,                0.13633,                  1.341,                 3.6355,                 2.0593,             0.00010203,             0.00010203,             0.00010203
                     39,                 1.5176,                 3.7617,                  1.994,                0.44611,                0.26616,                0.24102,                0.15985,                 1.3383,                 3.6308,                 2.0268,             0.00010043,             0.00010043,             0.00010043
                     40,                 1.4872,                 3.6439,                 1.9524,                0.42379,                0.27627,                0.25648,                0.17528,                 1.3282,                 3.4894,                 1.9895,             9.8838e-05,             9.8838e-05,             9.8838e-05
                     41,                 1.5145,                 3.6848,                 2.0043,                0.40309,                0.34628,                0.27311,                0.18061,                 1.3522,                 3.5229,                 1.9672,             9.7244e-05,             9.7244e-05,             9.7244e-05
                     42,                 1.5093,                 3.7164,                 2.0787,                0.49486,                0.22722,                0.24945,                0.16263,                 1.3931,                 3.5891,                 1.9994,              9.565e-05,              9.565e-05,              9.565e-05
                     43,                 1.5727,                  3.739,                 1.9672,                0.52014,                0.25515,                 0.2468,                0.15936,                 1.4112,                 3.4594,                 2.0375,             9.4056e-05,             9.4056e-05,             9.4056e-05
                     44,                 1.5265,                 3.6759,                 1.9862,                 0.4829,                0.25788,                 0.2535,                0.16558,                 1.3522,                 3.4694,                 1.9793,             9.2462e-05,             9.2462e-05,             9.2462e-05
                     45,                 1.4891,                 3.6735,                 1.9479,                 0.4667,                0.25712,                0.22335,                0.15374,                 1.2868,                 3.4773,                 1.9461,             9.0868e-05,             9.0868e-05,             9.0868e-05
                     46,                 1.4608,                 3.6421,                 1.9214,                0.44273,                0.29811,                0.24276,                0.16263,                 1.2839,                 3.4553,                 1.9196,             8.9275e-05,             8.9275e-05,             8.9275e-05
                     47,                 1.5072,                 3.6744,                  1.894,                 0.4601,                0.29182,                0.26725,                0.17651,                 1.3088,                 3.4015,                 1.8851,             8.7681e-05,             8.7681e-05,             8.7681e-05
                     48,                 1.4579,                 3.5265,                 1.8876,                0.47303,                0.32692,                0.27575,                0.18433,                 1.3198,                 3.3885,                 1.8998,             8.6087e-05,             8.6087e-05,             8.6087e-05
                     49,                 1.4138,                 3.5425,                 1.8114,                0.49014,                0.31792,                0.26628,                0.17981,                 1.2936,                 3.3511,                 1.8913,             8.4493e-05,             8.4493e-05,             8.4493e-05
                     50,                  1.457,                 3.5771,                 1.8623,                0.47317,                0.31604,                  0.291,                0.19578,                 1.2792,                 3.3568,                 1.9119,             8.2899e-05,             8.2899e-05,             8.2899e-05
                     51,                 1.4226,                 3.4391,                 1.7966,                0.46556,                0.34187,                0.28236,                0.18562,                 1.2862,                 3.3072,                 1.8756,             8.1305e-05,             8.1305e-05,             8.1305e-05
                     52,                 1.4509,                 3.6185,                 1.8573,                 0.4356,                0.28326,                0.25723,                0.17106,                 1.2514,                 3.4003,                 1.8675,             7.9711e-05,             7.9711e-05,             7.9711e-05
                     53,                 1.4245,                 3.6075,                  1.878,                0.46127,                0.27993,                0.28268,                0.18531,                 1.2582,                 3.3338,                 1.8514,             7.8117e-05,             7.8117e-05,             7.8117e-05
                     54,                 1.4025,                 3.5543,                 1.8405,                0.54065,                0.28178,                0.26851,                0.18936,                 1.2241,                  3.298,                 1.8207,             7.6523e-05,             7.6523e-05,             7.6523e-05
                     55,                 1.3288,                  3.514,                 1.7998,                0.49839,                0.29349,                0.27766,                0.19079,                 1.2529,                 3.2884,                   1.82,             7.4929e-05,             7.4929e-05,             7.4929e-05
                     56,                  1.369,                 3.3969,                 1.8121,                0.46428,                 0.3437,                0.29227,                0.20324,                 1.2263,                 3.2536,                 1.7977,             7.3335e-05,             7.3335e-05,             7.3335e-05
                     57,                 1.4316,                  3.485,                 1.8241,                0.49948,                0.28559,                0.29444,                0.20402,                 1.2349,                 3.2765,                 1.8251,             7.1742e-05,             7.1742e-05,             7.1742e-05
